Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
COHR,Coherent Inc,전자 장비 및 부품,571040.0,0,0,0,4,4,7,7,7,7,7,7,7
LFUS,Littelfuse Inc,"건설장비 및 대형차, 기차, 배",521020.0,1,1,1,1,1,4,1,1,4,1,12,12
LSTR,Landstar System Inc,화물 및 물류 서비스,524050.0,1,3,3,1,3,4,8,4,4,4,12,12
WTFC,Wintrust Financial Corp,은행,551010.0,0,0,0,0,4,3,3,3,3,3,3,3
SRCL,Stericycle Inc,전문 및 상업 서비스,522030.0,2,0,4,5,5,6,6,6,6,6,6,6
AMBA,Ambarella Inc,반도체 및 반도체 장비,571010.0,1,1,1,1,1,4,4,9,9,9,9,4
ROLL,RBC Bearings Inc,"건설장비 및 대형차, 기차, 배",521020.0,1,3,3,3,3,1,1,1,1,1,1,1
JBLU,JetBlue Airways Corp,운송업,524060.0,2,2,4,5,5,5,5,5,5,5,5,5
RUN,Sunrun Inc,재생에너지,502010.0,1,3,3,3,3,1,8,8,8,8,8,8
SLGN,Silgan Holdings Inc,용기 및 포장,513020.0,1,1,1,1,1,4,4,4,4,4,4,4
IRDM,Iridium Communications Inc,통신 서비스,574010.0,1,3,3,3,3,1,8,8,8,8,8,8
MNDT,Mandiant Inc,소프트웨어 및 IT서비스,572010.0,2,2,4,5,5,6,6,6,6,6,6,6
EXPO,Exponent Inc,전문 및 상업 서비스,522030.0,1,3,3,3,3,1,8,8,8,8,8,8
VICR,Vicor Corp,"건설장비 및 대형차, 기차, 배",521020.0,1,3,1,1,1,4,4,4,4,4,4,4
BECN,Beacon Roofing Supply Inc,주택건설,532030.0,0,0,0,0,4,7,7,7,10,10,10,7
FELE,Franklin Electric Co Inc,"건설장비 및 대형차, 기차, 배",521020.0,1,1,1,1,1,4,4,4,4,4,4,4
CWST,Casella Waste Systems Inc Class A,전문 및 상업 서비스,522030.0,1,3,3,3,3,1,8,8,8,8,8,8
TSEM,Tower Semiconductor Ltd,반도체 및 반도체 장비,571010.0,0,1,0,4,4,7,7,7,7,7,7,7
MANT,ManTech International Corp Class A,소프트웨어 및 IT서비스,572010.0,1,3,3,3,3,1,8,8,8,8,8,8
JOBS,51job Inc ADR,전문 및 상업 서비스,522030.0,1,3,2,2,6,0,0,0,0,11,11,11
ALGT,Allegiant Travel Co,운송업,524060.0,0,1,1,4,4,7,7,9,9,9,9,9
VSAT,ViaSat Inc,커뮤니케이션 및 네트워킹,571020.0,2,2,2,2,2,2,2,2,2,2,2,2
ONB,Old National Bancorp,은행,551010.0,0,2,2,2,6,3,3,3,3,3,3,3
AIMC,Altra Industrial Motion Corp,"건설장비 및 대형차, 기차, 배",521020.0,0,1,0,4,4,7,7,7,7,7,7,7
MRCY,Mercury Systems Inc,우주항공 및 국방,521010.0,1,3,3,3,3,1,8,8,8,8,8,8
SABR,Sabre Corp,소프트웨어 및 IT서비스,572010.0,2,2,4,5,2,2,2,2,5,2,2,2
FULT,Fulton Financial Corp,은행,551010.0,2,2,2,0,2,3,3,3,3,3,3,3
MLKN,MillerKnoll Inc,전문 및 상업 서비스,522030.0,0,2,2,2,6,3,1,1,1,1,1,1
WERN,Werner Enterprises Inc,화물 및 물류 서비스,524050.0,1,3,3,3,3,1,8,8,8,8,12,12
HUBG,Hub Group Inc Class A,화물 및 물류 서비스,524050.0,1,1,1,1,1,4,4,4,4,4,4,4
FWRD,Forward Air Corp,화물 및 물류 서비스,524050.0,1,1,1,1,1,4,4,4,4,4,4,4
SBLK,Star Bulk Carriers Corp,화물 및 물류 서비스,524050.0,0,1,1,4,4,7,7,9,9,9,9,13
CVCO,Cavco Industries Inc,주택건설,532030.0,1,3,3,3,3,1,1,1,1,1,12,12
SANM,Sanmina Corp,반도체 및 반도체 장비,571010.0,0,1,0,4,4,7,7,7,7,7,7,7
FFBC,First Financial Bancorp,은행,551010.0,2,2,2,0,2,3,3,3,3,3,3,3
FRME,First Merchants Corp,은행,551010.0,0,2,0,0,6,3,3,3,3,3,3,3
GOGL,Golden Ocean Group Ltd,화물 및 물류 서비스,524050.0,2,0,4,5,5,6,6,6,6,6,6,6
WIRE,Encore Wire Corp,"건설장비 및 대형차, 기차, 배",521020.0,1,1,1,1,1,4,4,4,4,4,4,4
AAWW,Atlas Air Worldwide Holdings Inc,화물 및 물류 서비스,524050.0,0,1,0,4,4,7,7,7,7,7,7,7
ARCB,ArcBest Corp,화물 및 물류 서비스,524050.0,1,1,1,1,1,4,4,4,4,4,4,13
HTLF,Heartland Financial USA Inc,은행,551010.0,2,2,2,0,2,3,3,3,3,3,3,3
KTOS,Kratos Defense and Security Solutions Inc,우주항공 및 국방,521010.0,1,3,3,3,3,1,8,8,8,8,8,8
RUSHA,Rush Enterprises Inc Class A,전문품 상점,534030.0,1,1,1,1,1,4,4,4,4,4,4,12
LKFN,Lakeland Financial Corp,은행,551010.0,1,1,1,1,1,4,4,4,4,4,12,12
ATSG,Air Transport Services Group Inc,화물 및 물류 서비스,524050.0,1,3,3,3,6,1,1,1,1,1,12,12
MGRC,McGrath RentCorp,전문 및 상업 서비스,522030.0,1,3,3,3,3,1,8,8,8,8,8,8
CSWI,CSW Industrials Inc,화학,511010.0,1,3,3,1,3,4,8,4,4,4,4,4
CMPR,Cimpress PLC,전문 및 상업 서비스,522030.0,2,2,2,2,2,0,0,0,0,11,11,11
ICFI,ICF International Inc,전문 및 상업 서비스,522030.0,1,3,3,3,3,1,1,1,1,1,1,1
SSYS,Stratasys Ltd,전자 장비 및 부품,571040.0,2,2,4,5,5,6,6,6,6,6,6,6
NVEE,NV5 Global Inc,건설 및 엔지니어링,522010.0,1,3,3,3,6,1,1,1,1,1,12,12
ROCK,Gibraltar Industries Inc,주택건설,532030.0,1,3,3,3,3,1,8,8,8,8,8,8
SKYW,SkyWest Inc,운송업,524060.0,2,2,2,2,2,0,0,0,0,11,11,11
SHYF,Shyft Group Inc,자동차 및 자동차 부품,531010.0,1,1,1,1,1,4,4,4,4,4,4,4
MYRG,MYR Group Inc,건설 및 엔지니어링,522010.0,1,1,1,1,1,4,4,4,4,4,4,4
FRTA,Forterra Inc,건축 자재,512020.0,1,1,1,4,1,4,4,9,9,9,9,9
KFRC,Kforce Inc,전문 및 상업 서비스,522030.0,1,1,1,1,1,4,4,4,4,4,4,4
AVAV,AeroVironment Inc,우주항공 및 국방,521010.0,1,3,3,3,3,1,1,1,1,1,12,12
ECOL,US Ecology Inc,전문 및 상업 서비스,522030.0,2,2,2,2,2,2,2,2,2,2,2,2
OFLX,Omega Flex Inc,"건설장비 및 대형차, 기차, 배",521020.0,1,3,3,3,3,1,8,8,8,8,8,8
OSIS,OSI Systems Inc,전자 장비 및 부품,571040.0,1,3,3,3,6,1,1,1,1,1,1,1
PRIM,Primoris Services Corp,건설 및 엔지니어링,522010.0,0,0,0,0,4,7,7,7,7,7,7,7
HEES,H&E Equipment Services Inc,전문 및 상업 서비스,522030.0,0,1,0,0,6,3,3,3,7,7,7,3
MRTN,Marten Transport Ltd,화물 및 물류 서비스,524050.0,1,3,3,3,3,1,8,8,8,8,8,8
