Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
BBBY,Bed Bath & Beyond Inc,전문품 상점,534030.0,2,2,2,2,1,4,4,4,4,4,4,4
AVAV,AeroVironment Inc,우주항공 및 국방,521010.0,0,0,4,4,4,3,3,9,9,9,9,10
MNRO,Monro Inc,전문품 상점,534030.0,1,1,1,5,5,6,6,6,6,6,6,6
SCHL,Scholastic Corp,미디어 및 출판,533020.0,2,2,2,1,2,5,5,5,5,5,5,5
RDWR,Radware Ltd,소프트웨어 및 IT서비스,572010.0,0,0,4,4,4,2,3,3,9,9,9,9
VNET,VNET Group Inc ADR,소프트웨어 및 IT서비스,572010.0,0,0,4,4,4,3,3,9,10,10,10,10
SBSI,Southside Bancshares Inc,은행,551010.0,1,3,3,3,3,1,2,2,2,2,2,2
AOSL,Alpha and Omega Semiconductor Ltd,반도체 및 반도체 장비,571010.0,0,3,0,0,0,1,0,0,0,0,0,0
GIII,G-III Apparel Group Ltd,섬유 및 의류,532020.0,2,2,2,2,1,4,4,4,4,1,4,1
BRKL,Brookline Bancorp Inc,은행,551010.0,1,1,1,3,6,7,7,7,7,7,7,7
OCFC,OceanFirst Financial Corp,은행,551010.0,2,1,1,1,6,7,6,6,6,6,5,5
CNOB,ConnectOne Bancorp Inc,은행,551010.0,1,3,3,3,3,7,7,7,7,7,11,7
SAFT,Safety Insurance Group Inc,보험,553010.0,1,1,1,5,5,2,8,8,8,8,8,8
STBA,S&T Bancorp Inc,은행,551010.0,2,1,1,1,6,6,6,6,6,6,6,6
SCWX,SecureWorks Corp Class A,소프트웨어 및 IT서비스,572010.0,0,0,4,5,5,2,8,8,9,9,9,9
CHCO,City Holding Co,은행,551010.0,1,1,3,5,5,2,8,8,8,8,8,8
LBAI,Lakeland Bancorp Inc,은행,551010.0,1,1,1,3,6,7,7,7,7,7,7,7
MTLS,Materialise NV ADR,소프트웨어 및 IT서비스,572010.0,0,0,4,4,4,3,3,9,10,10,10,10
SHEN,Shenandoah Telecommunications Co,통신 서비스,574010.0,0,0,4,5,5,3,8,9,10,10,10,10
JRVR,James River Group Holdings Ltd,보험,553010.0,0,1,4,5,5,6,8,9,8,8,8,8
CHRS,Coherus BioSciences Inc,생명과학 및 메디컬 리서치,562020.0,2,2,2,2,1,4,4,4,4,4,4,4
FARO,FARO Technologies Inc,전자 장비 및 부품,571040.0,0,0,4,4,4,3,3,9,10,10,10,10
NNDM,Nano Dimension Ltd ADR,전자 장비 및 부품,571040.0,2,2,2,2,1,4,4,4,4,4,4,4
HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,571020.0,0,0,0,0,0,0,0,3,3,3,3,3
JBSS,John B Sanfilippo & Son Inc,식품 및 담배,541020.0,0,0,4,5,5,3,8,9,9,9,9,9
HFWA,Heritage Financial Corp,은행,551010.0,1,1,1,1,6,6,6,6,6,6,6,6
AMWD,American Woodmark Corp,주택건설,532030.0,2,1,1,1,6,6,6,6,7,6,7,13
CEVA,CEVA Inc,반도체 및 반도체 장비,571010.0,0,3,3,0,3,1,1,1,1,0,1,13
HAFC,Hanmi Financial Corp,은행,551010.0,2,2,2,2,2,5,5,5,5,5,5,5
WW,WW International Inc,"개인, 가정 용품 및 서비스",542010.0,2,1,1,1,6,6,6,6,6,6,6,6
BJRI,BJ's Restaurants Inc,호텔 및 엔터테인먼트,533010.0,2,1,1,1,6,6,6,6,6,1,6,1
PLL,Piedmont Lithium Inc,화학,511010.0,0,3,0,0,0,1,0,0,0,0,0,0
RUTH,Ruth's Hospitality Group Inc,호텔 및 엔터테인먼트,533010.0,1,1,1,1,6,6,6,6,6,6,6,6
CVGW,Calavo Growers Inc,식품 및 담배,541020.0,2,1,1,1,6,6,6,6,6,6,6,6
GRPN,Groupon Inc,다양한 소매업,534020.0,2,2,2,2,2,5,5,5,5,5,12,12
TWOU,2U Inc,소프트웨어 및 IT서비스,572010.0,2,1,1,1,6,6,6,6,6,6,6,6
