Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
HUBG,Hub Group Inc Class A,화물 및 물류 서비스,524050.0,0,0,0,0,6,5,5,5,5,5,5,5
FWRD,Forward Air Corp,화물 및 물류 서비스,524050.0,0,0,0,0,6,5,5,5,5,5,5,5
SBLK,Star Bulk Carriers Corp,화물 및 물류 서비스,524050.0,0,0,0,5,6,5,5,5,7,7,7,7
GOGL,Golden Ocean Group Ltd,화물 및 물류 서비스,524050.0,1,1,1,1,1,1,1,1,1,1,1,1
AAWW,Atlas Air Worldwide Holdings Inc,화물 및 물류 서비스,524050.0,0,3,3,3,3,3,3,3,3,3,3,3
ARCB,ArcBest Corp,화물 및 물류 서비스,524050.0,0,0,0,0,6,5,5,5,5,5,5,5
ATSG,Air Transport Services Group Inc,화물 및 물류 서비스,524050.0,0,0,0,0,0,0,0,0,0,0,0,0
SKYW,SkyWest Inc,운송업,524060.0,2,2,2,2,2,2,2,9,9,9,12,12
MRTN,Marten Transport Ltd,화물 및 물류 서비스,524050.0,0,0,0,0,0,0,0,0,0,0,0,0
HTLD,Heartland Express Inc,화물 및 물류 서비스,524050.0,2,1,1,1,1,1,1,1,1,1,1,1
BLNK,Blink Charging Co,전기 유틸리티,591010.0,0,0,0,5,6,5,5,5,5,5,5,13
HA,Hawaiian Holdings Inc,운송업,524060.0,2,2,2,2,2,6,6,6,6,6,6,6
EGLE,Eagle Bulk Shipping Inc,화물 및 물류 서비스,524050.0,1,1,1,1,1,1,1,1,1,1,1,1
DSKE,Daseke Inc,화물 및 물류 서비스,524050.0,1,3,3,3,3,7,7,7,10,10,10,10
YELL,Yellow Corp,화물 및 물류 서비스,524050.0,1,3,3,3,3,7,7,7,10,10,10,10
WKHS,Workhorse Group Inc,자동차 및 자동차 부품,531010.0,0,0,0,0,0,0,0,0,0,11,11,11
