Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
V,Visa Inc Class A,소프트웨어 및 IT서비스,572010.0,1,3,3,3,3,7,7,7,7,7,12,12
JPM,JPMorgan Chase & Co,은행,551010.0,1,3,3,4,6,2,2,2,2,1,1,1
UNH,UnitedHealth Group Inc,헬스케어 업체 및 서비스,561020.0,1,3,3,4,3,7,7,7,7,7,7,7
JNJ,Johnson & Johnson,제약,562010.0,1,3,3,3,3,7,7,7,7,7,12,12
BRK,Berkshire Hathaway Inc Class B,복합 기업,544010.0,2,2,2,5,5,4,4,4,4,4,4,4
BRK,Berkshire Hathaway Inc Class A,복합 기업,544010.0,2,2,2,5,5,4,4,4,4,4,4,4
BAC,Bank of America Corp,은행,551010.0,1,3,4,4,6,2,2,2,2,2,2,2
WMT,Walmart Inc,식품 및 약품소매,543010.0,1,3,3,3,3,7,7,7,7,7,12,12
PG,Procter & Gamble Co,"개인, 가정 용품 및 서비스",542010.0,1,3,3,3,3,7,7,7,7,7,12,12
HD,Home Depot Inc,전문품 상점,534030.0,1,3,3,4,3,7,7,7,7,7,7,7
MA,Mastercard Inc Class A,소프트웨어 및 IT서비스,572010.0,1,3,3,3,3,7,7,7,7,7,12,12
XOM,Exxon Mobil Corp,오일 및 가스,501020.0,2,2,0,2,2,0,0,9,0,0,9,13
PFE,Pfizer Inc,제약,562010.0,1,3,4,4,6,2,2,2,2,1,2,2
DIS,Walt Disney Co,미디어 및 출판,533020.0,1,3,3,4,3,7,3,3,3,7,3,3
CVX,Chevron Corp,오일 및 가스,501020.0,0,0,1,0,0,5,5,9,9,5,5,5
KO,Coca-Cola Co,음료,541010.0,1,3,3,3,3,7,7,1,1,1,1,1
WFC,Wells Fargo & Co,은행,551010.0,2,0,0,2,0,0,0,9,9,9,9,9
LLY,Eli Lilly and Co,제약,562010.0,1,3,3,4,3,7,7,7,7,3,7,7
VZ,Verizon Communications Inc,통신 서비스,574010.0,1,3,3,3,3,1,1,1,1,10,12,12
TMO,Thermo Fisher Scientific Inc,헬스케어 장비 및 용품,561010.0,1,3,3,4,3,7,7,7,7,7,7,7
ABT,Abbott Laboratories,헬스케어 장비 및 용품,561010.0,1,3,3,3,3,7,7,7,7,7,12,12
ORCL,Oracle Corp,소프트웨어 및 IT서비스,572010.0,1,3,4,4,6,7,7,7,2,3,7,7
