Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
FMBH,First Mid Bancshares Inc,은행,551010.0,2,0,4,4,5,7,7,7,7,7,7,7
CBTX,CBTX Inc,은행,551010.0,0,2,2,0,2,2,2,2,10,10,10,10
HTBK,Heritage Commerce Corp,은행,551010.0,0,2,2,0,2,2,2,2,10,10,10,10
CAC,Camden National Corp,은행,551010.0,2,2,4,4,4,7,7,7,7,7,7,7
FFIC,Flushing Financial Corp,은행,551010.0,0,3,2,2,2,6,6,6,10,10,10,10
DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,601020.0,0,3,3,3,3,4,4,4,3,4,3,3
PGC,Peapack-Gladstone Financial Corp,은행,551010.0,2,2,2,2,2,6,6,6,6,6,2,2
MSBI,Midland States Bancorp Inc,은행,551010.0,0,3,2,2,2,3,3,3,10,10,10,10
TRST,TrustCo Bank Corp N Y,은행,551010.0,0,2,2,0,2,2,2,2,3,3,12,12
LBC,Luther Burbank Corp,은행,551010.0,2,0,2,2,5,6,6,6,6,6,6,6
NEWT,Newtek Business Services Corp,은행,551010.0,1,1,1,5,6,5,1,9,9,1,1,1
ACBI,Atlantic Capital Bancshares Inc,은행,551010.0,2,0,0,5,5,5,5,5,5,5,5,5
CATC,Cambridge Bancorp,은행,551010.0,2,2,4,4,4,7,7,7,7,7,7,11
CSWC,Capital Southwest Corp,투자은행 및 서비스,551020.0,1,0,0,4,0,7,7,7,0,0,0,0
MBWM,Mercantile Bank Corp,은행,551010.0,2,2,4,2,4,2,2,2,2,2,2,2
UFCS,United Fire Group Inc,보험,553010.0,0,3,3,0,3,3,3,3,3,3,12,12
BMRC,Bank of Marin Bancorp,은행,551010.0,2,2,4,4,4,7,7,7,2,11,11,11
AROW,Arrow Financial Corp,은행,551010.0,2,2,4,4,4,7,7,7,7,7,7,11
CASS,Cass Information Systems Inc,전문 및 상업 서비스,522030.0,0,2,4,0,4,2,2,2,2,2,12,12
DHIL,Diamond Hill Investment Group Inc Class A,투자은행 및 서비스,551020.0,0,3,2,2,2,4,6,6,4,6,6,6
BFC,Bank First Corp,은행,551010.0,1,1,1,1,1,1,8,8,8,8,8,13
ATNI,ATN International Inc,통신 서비스,574010.0,0,3,3,3,3,3,4,4,3,4,4,4
EQBK,Equity Bancshares Inc Class A,은행,551010.0,2,2,2,2,2,2,2,2,10,10,10,10
GAIN,Gladstone Investment Corp,다양한 금융서비스,555010.0,1,1,1,5,1,7,7,7,7,1,1,1
PFLT,PennantPark Floating Rate Capital Ltd,다양한 금융서비스,555010.0,0,3,2,2,2,0,0,0,10,10,10,10
FLIC,First of Long Island Corp,은행,551010.0,0,3,2,2,2,3,3,3,10,10,10,10
RBB,RBB Bancorp,은행,551010.0,2,2,2,2,2,6,6,6,10,10,10,10
ALRS,Alerus Financial Corp,은행,551010.0,1,1,0,5,6,5,5,9,9,9,9,9
FISI,Financial Institutions Inc,은행,551010.0,2,2,2,2,2,0,0,0,10,10,10,10
FCBC,First Community Bankshares Inc,은행,551010.0,2,2,4,4,4,2,2,2,2,2,2,11
WSBF,Waterstone Financial Inc,은행,551010.0,2,0,0,5,5,5,5,5,5,7,7,7
WTBA,West Bancorporation Inc,은행,551010.0,2,0,0,5,5,6,5,5,5,5,5,5
INBK,First Internet Bancorp,은행,551010.0,2,0,0,2,5,6,6,6,6,6,6,6
FMNB,Farmers National Banc Corp,은행,551010.0,2,0,4,4,4,7,7,7,7,7,7,7
SMBC,Southern Missouri Bancorp Inc,은행,551010.0,2,0,0,5,5,5,5,5,7,7,7,7
EBTC,Enterprise Bancorp Inc,은행,551010.0,2,2,2,2,5,6,6,6,6,6,2,2
CSTR,CapStar Financial Holdings Inc,은행,551010.0,2,0,2,2,2,6,6,6,6,6,6,6
CCBG,Capital City Bank Group Inc,은행,551010.0,2,1,4,4,4,7,7,7,7,11,11,11
MVBF,MVB Financial Corp,은행,551010.0,1,1,0,5,6,5,1,9,9,9,9,9
MPB,Mid Penn Bancorp Inc,은행,551010.0,2,2,4,2,4,2,2,2,2,2,2,2
CCNE,CNB Financial Corp,은행,551010.0,2,2,4,4,4,2,2,2,2,2,2,2
SFST,Southern First Bancshares Inc,은행,551010.0,2,0,0,5,5,7,7,7,7,7,7,7
FDUS,Fidus Investment Corp,다양한 금융서비스,555010.0,2,0,2,2,0,0,0,0,0,0,0,0
SMBK,SmartFinancial Inc,은행,551010.0,2,2,2,2,5,6,6,6,6,7,2,2
EHTH,eHealth Inc,보험,553010.0,1,1,1,1,1,1,8,8,8,8,8,13
OSBC,Old Second Bancorp Inc,은행,551010.0,2,2,4,4,4,2,2,2,2,2,2,2
BSRR,Sierra Bancorp,은행,551010.0,2,2,4,4,4,2,2,2,2,2,2,2
AMNB,American National Bankshares Inc,은행,551010.0,2,2,2,2,2,2,2,2,2,2,2,2
CZNC,Citizens & Northern Corp,은행,551010.0,2,2,4,4,4,2,2,2,2,2,2,2
GLAD,Gladstone Capital Corp,다양한 금융서비스,555010.0,2,0,0,5,5,5,5,5,5,5,5,5
SHBI,Shore Bancshares Inc,은행,551010.0,2,2,4,2,4,2,2,2,2,2,2,2
CIVB,Civista Bancshares Inc,은행,551010.0,2,2,4,4,4,2,7,2,2,2,2,2
