Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
MUSA,Murphy Usa Inc,오일 및 가스,501020.0,1,1,4,4,4,2,2,2,8,8,8,8
HE,Hawaiian Electric Industries Inc,전기 유틸리티,591010.0,1,1,4,1,1,5,5,5,5,5,5,5
HXL,Hexcel Corp,우주항공 및 국방,521010.0,2,0,2,2,2,4,4,9,9,9,9,9
SM,SM Energy Co,오일 및 가스,501020.0,0,3,3,3,6,7,7,7,7,11,11,11
HR,Healthcare Realty Trust Inc,주택 및 상업용 리츠,601020.0,2,0,2,1,1,3,3,5,5,5,6,6
PK,Park Hotels & Resorts Inc,주택 및 상업용 리츠,601020.0,0,0,0,2,2,4,4,9,4,4,4,4
HRI,Herc Holdings Inc,전문 및 상업 서비스,522030.0,1,2,1,5,5,1,8,1,1,1,1,1
HIW,Highwoods Properties Inc,주택 및 상업용 리츠,601020.0,0,3,0,0,0,0,0,0,4,4,4,4
FL,Foot Locker Inc,전문품 상점,534030.0,0,3,3,3,6,7,7,7,7,11,11,11
ENLC,EnLink Midstream Common Units,오일 및 가스 장비 및 서비스,501030.0,0,3,0,0,0,0,0,0,0,0,0,0
LAZ,Lazard Ltd Class A,투자은행 및 서비스,551020.0,2,3,3,2,3,6,1,4,10,10,12,13
GTES,Gates Industrial Corporation PLC,"건설장비 및 대형차, 기차, 배",521020.0,0,3,3,3,0,6,0,4,0,10,12,12
LXP,LXP Industrial Trust,주택 및 상업용 리츠,601020.0,1,1,4,4,5,2,8,8,8,8,8,1
CMC,Commercial Metals Co,메탈&마이닝,512010.0,1,2,1,5,5,1,8,8,1,1,1,1
RDN,Radian Group Inc,보험,553010.0,2,2,2,1,1,3,5,5,5,5,5,5
ADNT,Adient PLC,자동차 및 자동차 부품,531010.0,0,3,3,0,0,0,0,4,0,0,12,12
BKH,Black Hills Corp,복합 유틸리티,591040.0,2,0,2,1,1,3,3,5,5,5,5,5
AUY,Yamana Gold Inc,메탈&마이닝,512010.0,1,1,4,4,4,5,2,2,2,2,2,2
FLS,Flowserve Corp,"건설장비 및 대형차, 기차, 배",521020.0,0,0,0,2,2,4,4,9,4,4,4,4
JBT,John Bean Technologies Corp,"건설장비 및 대형차, 기차, 배",521020.0,1,1,1,5,1,1,5,3,3,1,3,3
TRTN,Triton International Ltd,전문 및 상업 서비스,522030.0,1,1,4,4,5,1,8,8,8,8,1,1
SUM,Summit Materials Inc Class A,건축 자재,512020.0,2,2,1,5,3,6,1,1,10,10,12,13
ALSN,Allison Transmission Holdings Inc,"건설장비 및 대형차, 기차, 배",521020.0,2,0,2,1,1,3,3,3,9,9,9,9
BWXT,BWX Technologies Inc,우주항공 및 국방,521010.0,2,1,2,1,1,3,3,3,3,5,3,3
AGO,Assured Guaranty Ltd,보험,553010.0,2,2,1,5,1,3,5,3,3,3,10,10
OGS,ONE Gas Inc,천연가스 유틸리티,591020.0,2,0,2,1,1,3,3,5,5,5,5,5
CWEN,Clearway Energy Inc Class C,전기 유틸리티,591010.0,1,1,4,4,4,2,8,8,8,8,8,8
CWEN,Clearway Energy Inc Class A,전기 유틸리티,591010.0,1,1,4,4,4,2,8,8,8,8,8,8
SWX,Southwest Gas Holdings Inc,천연가스 유틸리티,591020.0,0,0,2,2,2,4,3,9,9,9,9,9
R,Ryder System Inc,화물 및 물류 서비스,524050.0,2,2,3,3,3,6,1,4,10,10,12,13
AEL,American Equity Investment Life Holding Co,보험,553010.0,2,2,1,5,3,3,1,3,3,3,10,10
CBT,Cabot Corp,화학,511010.0,2,2,2,2,3,6,1,4,10,10,12,13
UAA,Under Armour Inc Class A,섬유 및 의류,532020.0,0,3,3,3,6,7,7,7,7,7,7,7
CPG,Crescent Point Energy Corp,오일 및 가스,501020.0,0,3,3,3,6,7,7,7,7,7,7,7
NJR,New Jersey Resources Corp,천연가스 유틸리티,591020.0,2,0,2,2,2,4,3,9,9,9,9,9
BKU,BankUnited Inc,은행,551010.0,2,2,1,5,3,6,1,4,10,10,10,10
DOC,Physicians Realty Trust,주택 및 상업용 리츠,601020.0,2,2,3,3,6,7,6,6,6,6,6,6
